timestamp,car_id,hvac_supply_temp_c,hvac_current_amps,lighting_load_pct,battery_soc_pct,battery_voltage_v,comms_rssi_dbm,hvac_setpoint_c,train_id
2026-08-01 00:01:48,CAR_01_1,11.96,23.21,96.67,91.58,109.5,-68.99,24.0,TRAIN_01
2026-08-01 00:11:58,CAR_01_1,12.08,23.25,96.62,92.11,109.66,-66.28,24.0,TRAIN_01
2026-08-01 00:20:01,CAR_01_1,11.05,21.43,96.7,92.94,110.01,-66.75,24.0,TRAIN_01
2026-08-01 00:33:46,CAR_01_1,11.48,22.12,96.68,91.59,109.22,-67.09,24.0,TRAIN_01
2026-08-01 00:43:26,CAR_01_1,11.58,19.95,97.73,90.45,110.38,-64.95,24.0,TRAIN_01
2026-08-01 00:58:13,CAR_01_1,11.93,20.02,97.3,92.17,111.16,-68.55,24.0,TRAIN_01
2026-08-01 01:08:35,CAR_01_1,10.37,20.2,96.82,91.87,110.41,-71.9,24.0,TRAIN_01
2026-08-01 01:23:21,CAR_01_1,10.19,22.64,96.63,91.9,111.18,-65.38,24.0,TRAIN_01
2026-08-01 01:33:56,CAR_01_1,10.61,19.94,96.87,93.5,109.29,-68.96,24.0,TRAIN_01
2026-08-01 01:40:37,CAR_01_1,11.36,21.14,97.59,90.75,110.37,-70.99,24.0,TRAIN_01
2026-08-01 01:46:40,CAR_01_1,12.11,21.02,98.49,89.98,111.76,-68.56,24.0,TRAIN_01
2026-08-01 01:54:12,CAR_01_1,12.09,21.51,97.47,92.24,110.49,-71.45,24.0,TRAIN_01
2026-08-01 02:04:54,CAR_01_1,12.62,19.73,97.11,93.67,110.16,-69.09,24.0,TRAIN_01
2026-08-01 02:14:13,CAR_01_1,11.45,20.78,97.34,94.74,109.82,-69.1,24.0,TRAIN_01
2026-08-01 02:22:42,CAR_01_1,12.18,21.01,96.95,92.36,110.25,-68.16,24.0,TRAIN_01
2026-08-01 02:31:57,CAR_01_1,11.36,22.01,95.55,91.82,109.98,-70.33,24.0,TRAIN_01
2026-08-01 02:46:40,CAR_01_1,11.49,21.74,97.03,90.88,109.7,-64.06,24.0,TRAIN_01
2026-08-01 02:59:58,CAR_01_1,11.49,20.26,96.84,92.06,110.6,-70.98,24.0,TRAIN_01
